State,City,ZIP,Name,Language,Time,Type,Price,Capacity,Booked
Kerala,Kochi,682025,PvrLuluGoldKochi,Malayalam,13:30,Gold,450₹,56,46
Kerala,Kozhikode,673027,MallikaPlexDolbyAtmosCalicut,Malayalam,13:30,Executive,140₹,192,21
Kerala,Payyanur,670307,SumangaliCinemasAnnurRoad,Malayalam,13:30,GoldenCircle,130₹,192,22
Kerala,Kochi,682024,PvrOberonMallErnakulam,Malayalam,13:30,Classic,140₹,36,4
Kerala,Kochi,682024,PvrOberonMallErnakulam,Malayalam,13:30,ClassicPlus,180₹,141,67
Kerala,Kozhikode,673001,RegalCinema,Malayalam,13:45,FirstClassSc3,200₹,158,91
Kerala,Kollengode,678506,ThankarajThankamTheatre,Malayalam,13:45,FirstClass,100₹,350,268
Kerala,Puthoor,691507,ChellamTheatrePuthoor,Malayalam,14:00,Balcony,150₹,390,14
Kerala,Puthoor,691507,ChellamTheatrePuthoor,Malayalam,14:00,Reserved,125₹,610,343
Kerala,Kozhinjampara,678555,RavirajComplexACKozhinjampara,Malayalam,14:00,FirstClass,110₹,163,52
Kerala,SultanBathery,673592,AiswaryaAthulyaAiswaryaCineplexSulthanBathery,Malayalam,14:15,Balcony,110₹,408,14
Kerala,Manjeri,676121,KairaliCinemasDolbyAtmosManjeri,Malayalam,14:15,LuxusCircle,130₹,707,446
Kerala,Kottarakara,691506,MinervaEmpireCinemazChandamukku,Malayalam,14:30,Gold,129₹,457,33
Kerala,Pattambi,679309,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,14:30,Platinum,250₹,20,0
Kerala,Pattambi,679309,SyndicateCinemas4KRgbLaserAtmosKoppam,Malayalam,14:30,Gold,150₹,109,0
Kerala,Kottakkal,676503,LeenaTheatre4KDolbyAtmosKottakkal,Malayalam,14:30,Executive,110₹,186,134
Kerala,Kozhikode,673001,MagicFramesRadha2KUhd3DDolby71Calicut,Malayalam,14:30,Balcony,150₹,140,25
Kerala,Kozhikode,673001,MagicFramesRadha2KUhd3DDolby71Calicut,Malayalam,14:30,FirstClass,130₹,635,137
Kerala,Trivandrum,695572,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,14:30,DiamondSofa,200₹,4,2
Kerala,Trivandrum,695572,SriKalidasMPlex4KRgbLaserDolbyAtmosThoongamparaKattakada,Malayalam,14:30,Gold,150₹,170,0
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,14:30,LuxuryClass,220₹,13,0
Kerala,Kunnamkulam,680503,BavanaMoviesHouseACKunnamkulam,Malayalam,14:30,PlatinumCircle,130₹,159,0
Kerala,Valanchery,676552,SreekumarAndPavithraTheatreAC2K,Malayalam,14:30,FirstClass,110₹,334,4
Kerala,Wandoor,679328,HariharFilmCity4KSony3DWandoor,Malayalam,14:30,Executive,129₹,140,2
Kerala,Edappal,679576,SaradaMovies,Malayalam,14:30,Platinum,110₹,317,47
Kerala,Kanhangad,671315,DeepthiCinemasAC2KDolby71Kanhangad,Malayalam,14:35,GoldClass,140₹,185,5
Kerala,Pandikkad,676521,IllamCinemasPandikkad,Malayalam,14:40,DiamondCircle,129₹,182,0
Kerala,Mukkam,673602,AbhilashCinemas4KMukkam,Malayalam,14:45,Executive,110₹,300,55
Kerala,Thalassery,670101,LibertyParadiseComplexThalassery,Malayalam,14:45,Suite,125₹,324,205
Kerala,Kurumassery,683579,KripaMoviesAC71PxdKurumassery,Malayalam,15:00,GoldCircle,110₹,250,50
Kerala,Thrissur,680501,SavithaMovieMagic,Malayalam,15:00,FirstClass,100₹,300,5
Kerala,Alappuzha,688001,RaibanCineHouseAC2K71Dolby,Malayalam,15:00,Balcony,125₹,206,100
Kerala,Guruvayur,680101,DevakiCinemasGuruvayur,Malayalam,15:00,FirstClass,110₹,342,155
Kerala,Ashtamichira,680731,MahalakshmiCinemasAshtamichira,Malayalam,15:15,Diamond,120₹,137,4
Kerala,Ashtamichira,680731,MahalakshmiCinemasAshtamichira,Malayalam,15:15,Gold,100₹,220,6
TamilNadu,Chennai,603103,InoxTheMarinaMallOmrEgatoor,Malayalam,15:30,Club,202₹,126,31
TamilNadu,Chennai,603103,InoxTheMarinaMallOmrEgatoor,Malayalam,15:30,Executive,63₹,16,9
